用戶ID,日期,當日天氣,心情指數,心情小語
1,2025-02-01,雷陣雨,6,充滿能量的一天！
1,2025-02-02,雷陣雨,7,充滿能量的一天！
1,2025-02-03,雷陣雨,4,平平淡淡的一天。
1,2025-02-04,小雨,7,充滿能量的一天！
1,2025-02-05,小雨,5,有點煩躁，但還能調適。
1,2025-02-06,陰天,5,平平淡淡的一天。
1,2025-02-07,大雨,8,感覺有點低落，需要放鬆。
1,2025-02-08,大雨,3,今天感覺特別愉快！
1,2025-02-09,多雲,6,平平淡淡的一天。
1,2025-02-10,小雨,5,平平淡淡的一天。
1,2025-02-11,多雲,3,充滿挑戰的一天，但收穫很多。
1,2025-02-12,晴天,8,壓力有點大，但還能應付。
1,2025-02-13,小雨,6,充滿挑戰的一天，但收穫很多。
1,2025-02-14,多雲,9,有點疲憊，需要休息。
1,2025-02-15,陰天,9,今天很有成就感！
1,2025-02-16,晴天,7,充滿能量的一天！
1,2025-02-17,晴天,7,有點煩躁，但還能調適。
1,2025-02-18,小雨,8,平平淡淡的一天。
1,2025-02-19,小雨,8,與朋友相處很開心。
1,2025-02-20,大雨,7,今天感覺特別愉快！
1,2025-02-21,陰天,3,今天很有成就感！
1,2025-02-22,陰天,8,充滿能量的一天！
1,2025-02-23,晴天,3,有點煩躁，但還能調適。
1,2025-02-24,多雲,1,感覺有點低落，需要放鬆。
1,2025-02-25,陰天,9,充滿挑戰的一天，但收穫很多。
1,2025-02-26,大雨,3,充滿挑戰的一天，但收穫很多。
1,2025-02-27,雷陣雨,4,充滿挑戰的一天，但收穫很多。
1,2025-02-28,陰天,7,與朋友相處很開心。
1,2025-03-01,雷陣雨,5,充滿挑戰的一天，但收穫很多。
1,2025-03-02,陰天,5,充滿能量的一天！
2,2025-02-01,雷陣雨,1,今天感覺特別愉快！
2,2025-02-02,多雲,1,感覺有點低落，需要放鬆。
2,2025-02-03,陰天,1,有點煩躁，但還能調適。
2,2025-02-04,雷陣雨,1,今天很有成就感！
2,2025-02-05,陰天,4,有點煩躁，但還能調適。
2,2025-02-06,陰天,9,壓力有點大，但還能應付。
2,2025-02-07,晴天,5,感覺有點低落，需要放鬆。
2,2025-02-08,雷陣雨,5,壓力有點大，但還能應付。
2,2025-02-09,晴天,3,有點疲憊，需要休息。
2,2025-02-10,雷陣雨,9,感覺有點低落，需要放鬆。
2,2025-02-11,大雨,5,有點疲憊，需要休息。
2,2025-02-12,多雲,1,今天很有成就感！
2,2025-02-13,小雨,5,充滿能量的一天！
2,2025-02-14,雷陣雨,9,充滿能量的一天！
2,2025-02-15,晴天,3,充滿挑戰的一天，但收穫很多。
2,2025-02-16,雷陣雨,10,今天感覺特別愉快！
2,2025-02-17,陰天,5,與朋友相處很開心。
2,2025-02-18,陰天,9,今天感覺特別愉快！
2,2025-02-19,陰天,6,有點疲憊，需要休息。
2,2025-02-20,陰天,9,壓力有點大，但還能應付。
2,2025-02-21,雷陣雨,5,與朋友相處很開心。
2,2025-02-22,多雲,7,有點煩躁，但還能調適。
2,2025-02-23,小雨,1,有點疲憊，需要休息。
2,2025-02-24,小雨,2,感覺有點低落，需要放鬆。
2,2025-02-25,陰天,4,與朋友相處很開心。
2,2025-02-26,雷陣雨,5,有點煩躁，但還能調適。
2,2025-02-27,小雨,10,今天感覺特別愉快！
2,2025-02-28,雷陣雨,8,與朋友相處很開心。
2,2025-03-01,晴天,4,今天感覺特別愉快！
2,2025-03-02,多雲,2,平平淡淡的一天。
3,2025-02-01,小雨,1,有點煩躁，但還能調適。
3,2025-02-02,小雨,6,充滿能量的一天！
3,2025-02-03,晴天,5,壓力有點大，但還能應付。
3,2025-02-04,晴天,7,平平淡淡的一天。
3,2025-02-05,小雨,1,壓力有點大，但還能應付。
3,2025-02-06,大雨,6,與朋友相處很開心。
3,2025-02-07,小雨,3,今天感覺特別愉快！
3,2025-02-08,陰天,5,平平淡淡的一天。
3,2025-02-09,陰天,8,有點疲憊，需要休息。
3,2025-02-10,陰天,1,充滿挑戰的一天，但收穫很多。
3,2025-02-11,大雨,2,與朋友相處很開心。
3,2025-02-12,陰天,2,平平淡淡的一天。
3,2025-02-13,大雨,9,與朋友相處很開心。
3,2025-02-14,陰天,7,平平淡淡的一天。
3,2025-02-15,多雲,6,有點疲憊，需要休息。
3,2025-02-16,大雨,4,充滿能量的一天！
